X,Y,Z
-0.07101724, -0.9491526, -0.3066976
-0.07101724, -0.9491526, -0.3066976
-0.07101724, -0.9491526, -0.3066976
-0.07101724, -0.9491526, -0.3066976
-0.07101724, -0.9491526, -0.3066976
-0.06292889, -0.9474232, -0.3137299
-0.06292889, -0.9474232, -0.3137299
-0.06292889, -0.9474232, -0.3137299
-0.06292889, -0.9474232, -0.3137299
-0.06292889, -0.9474232, -0.3137299
-0.0483973, -0.946595, -0.3187682
-0.0483973, -0.946595, -0.3187682
-0.0483973, -0.946595, -0.3187682
-0.0483973, -0.946595, -0.3187682
-0.04851291, -0.9460075, -0.3204886
-0.04851291, -0.9460075, -0.3204886
-0.04851291, -0.9460075, -0.3204886
-0.04851291, -0.9460075, -0.3204886
-0.04977316, -0.9460446, -0.320188
-0.04977316, -0.9460446, -0.320188
-0.04977316, -0.9460446, -0.320188
-0.04977316, -0.9460446, -0.320188
-0.04827192, -0.9453177, -0.3225544
-0.04827192, -0.9453177, -0.3225544
-0.04827192, -0.9453177, -0.3225544
-0.04525241, -0.9436573, -0.3278122
-0.04525241, -0.9436573, -0.3278122
-0.04525241, -0.9436573, -0.3278122
-0.04525241, -0.9436573, -0.3278122
-0.04525241, -0.9436573, -0.3278122
-0.04417959, -0.943274, -0.3290581
-0.04417959, -0.943274, -0.3290581
-0.04417959, -0.943274, -0.3290581
-0.04208905, -0.9429132, -0.3303628
-0.04208905, -0.9429132, -0.3303628
-0.04208905, -0.9429132, -0.3303628
-0.04208905, -0.9429132, -0.3303628
-0.04208905, -0.9429132, -0.3303628
-0.04208905, -0.9429132, -0.3303628
-0.04208905, -0.9429132, -0.3303628
-0.04208905, -0.9429132, -0.3303628
-0.04178551, -0.944259, -0.3265352
-0.04178551, -0.944259, -0.3265352
-0.04178551, -0.944259, -0.3265352
-0.04178551, -0.944259, -0.3265352
-0.03789118, -0.9349749, -0.3526819
-0.03789118, -0.9349749, -0.3526819
-0.03789118, -0.9349749, -0.3526819
-0.03789118, -0.9349749, -0.3526819
-0.03789118, -0.9349749, -0.3526819
-0.026189, -0.9278784, -0.3719592
-0.026189, -0.9278784, -0.3719592
-0.026189, -0.9278784, -0.3719592
-0.026189, -0.9278784, -0.3719592
0.03053835, -0.9152981, -0.4016166
0.03053835, -0.9152981, -0.4016166
0.03053835, -0.9152981, -0.4016166
0.09502429, -0.9013457, -0.4225445
0.09502429, -0.9013457, -0.4225445
0.09502429, -0.9013457, -0.4225445
0.09502429, -0.9013457, -0.4225445
0.1285821, -0.8933479, -0.4305754
0.1285821, -0.8933479, -0.4305754
0.1285821, -0.8933479, -0.4305754
0.1285821, -0.8933479, -0.4305754
0.194821, -0.8728801, -0.4473512
0.194821, -0.8728801, -0.4473512
0.194821, -0.8728801, -0.4473512
0.194821, -0.8728801, -0.4473512
0.194821, -0.8728801, -0.4473512
0.1901445, -0.7734216, -0.6047004
0.1901445, -0.7734216, -0.6047004
0.1901445, -0.7734216, -0.6047004
0.1901445, -0.7734216, -0.6047004
0.1901445, -0.7734216, -0.6047004
0.08444822, -0.2222416, -0.9713275
0.08444822, -0.2222416, -0.9713275
0.08444822, -0.2222416, -0.9713275
-0.02273583, 0.3245489, -0.9455956
-0.02273583, 0.3245489, -0.9455956
-0.02273583, 0.3245489, -0.9455956
0.1077446, 0.02476845, -0.99387
0.1077446, 0.02476845, -0.99387
0.1077446, 0.02476845, -0.99387
0.1077446, 0.02476845, -0.99387
0.1663485, -0.1547859, -0.9738426
0.1663485, -0.1547859, -0.9738426
0.1663485, -0.1547859, -0.9738426
0.1663485, -0.1547859, -0.9738426
0.1663485, -0.1547859, -0.9738426
0.2089851, -0.3163555, -0.9253346
0.2089851, -0.3163555, -0.9253346
0.01370642, -0.2244597, -0.974387
0.01370642, -0.2244597, -0.974387
0.01370642, -0.2244597, -0.974387
0.01370642, -0.2244597, -0.974387
0.01419825, -0.0165575, -0.9997621
0.01419825, -0.0165575, -0.9997621
0.01419825, -0.0165575, -0.9997621
0.01419825, -0.0165575, -0.9997621
0.133312, -0.09925485, -0.9860914
0.133312, -0.09925485, -0.9860914
0.133312, -0.09925485, -0.9860914
0.133312, -0.09925485, -0.9860914
0.08034566, -0.1388697, -0.987046
0.08034566, -0.1388697, -0.987046
0.08034566, -0.1388697, -0.987046
0.08034566, -0.1388697, -0.987046
0.08034566, -0.1388697, -0.987046
0.07259099, -0.09018728, -0.9932758
0.07259099, -0.09018728, -0.9932758
0.07259099, -0.09018728, -0.9932758
0.07259099, -0.09018728, -0.9932758
0.07259099, -0.09018728, -0.9932758
0.09209351, -0.1119678, -0.9894352
0.09209351, -0.1119678, -0.9894352
0.09209351, -0.1119678, -0.9894352
0.09209351, -0.1119678, -0.9894352
0.09209351, -0.1119678, -0.9894352
0.08481455, -0.1101071, -0.9902943
0.08481455, -0.1101071, -0.9902943
0.08481455, -0.1101071, -0.9902943
0.08481455, -0.1101071, -0.9902943
0.08481455, -0.1101071, -0.9902943
0.08172213, -0.1063016, -0.99097
0.08172213, -0.1063016, -0.99097
0.08172213, -0.1063016, -0.99097
0.08183926, -0.1048414, -0.9911158
0.08183926, -0.1048414, -0.9911158
0.08183926, -0.1048414, -0.9911158
0.08183926, -0.1048414, -0.9911158
0.08183926, -0.1048414, -0.9911158
0.08100977, -0.1022156, -0.9914582
0.08100977, -0.1022156, -0.9914582
0.08100977, -0.1022156, -0.9914582
0.08029073, -0.1001221, -0.9917302
0.08029073, -0.1001221, -0.9917302
0.08029073, -0.1001221, -0.9917302
0.08029073, -0.1001221, -0.9917302
0.07963028, -0.09892038, -0.9919041
0.07963028, -0.09892038, -0.9919041
0.07963028, -0.09892038, -0.9919041
0.07963028, -0.09892038, -0.9919041
0.07963028, -0.09892038, -0.9919041
0.07926179, -0.09791163, -0.9920338
0.07926179, -0.09791163, -0.9920338
0.07926179, -0.09791163, -0.9920338
0.07926179, -0.09791163, -0.9920338
0.07926179, -0.09791163, -0.9920338
0.07803398, -0.09479425, -0.9924337
0.07803398, -0.09479425, -0.9924337
0.07803398, -0.09479425, -0.9924337
0.07803398, -0.09479425, -0.9924337
0.07803398, -0.09479425, -0.9924337
0.0682458, -0.06876281, -0.995296
0.0682458, -0.06876281, -0.995296
0.0682458, -0.06876281, -0.995296
0.0682458, -0.06876281, -0.995296
0.0682458, -0.06876281, -0.995296
0.06098165, -0.0503415, -0.9968686
0.06098165, -0.0503415, -0.9968686
0.06098165, -0.0503415, -0.9968686
0.06098165, -0.0503415, -0.9968686
0.06098165, -0.0503415, -0.9968686
0.06019842, -0.0487999, -0.9969928
0.06019842, -0.0487999, -0.9969928
0.06019842, -0.0487999, -0.9969928
0.06019842, -0.0487999, -0.9969928
0.06019842, -0.0487999, -0.9969928
0.06011534, -0.04865544, -0.9970049
0.06011534, -0.04865544, -0.9970049
0.06011534, -0.04865544, -0.9970049
0.06011534, -0.04865544, -0.9970049
0.06011534, -0.04865544, -0.9970049
0.0597353, -0.04820865, -0.9970494
0.0597353, -0.04820865, -0.9970494
0.0597353, -0.04820865, -0.9970494
0.0597353, -0.04820865, -0.9970494
0.0597353, -0.04820865, -0.9970494
0.05759333, -0.04720183, -0.9972236
0.05759333, -0.04720183, -0.9972236
0.05759333, -0.04720183, -0.9972236
