X,Y,Z
-0.06823784, -0.907737, -0.41395
-0.06823784, -0.907737, -0.41395
-0.06823784, -0.907737, -0.41395
-0.0671756, -0.9081504, -0.4132164
-0.0671756, -0.9081504, -0.4132164
-0.0671756, -0.9081504, -0.4132164
-0.0671756, -0.9081504, -0.4132164
-0.06581765, -0.9084463, -0.4127842
-0.06581765, -0.9084463, -0.4127842
-0.06581765, -0.9084463, -0.4127842
-0.06581765, -0.9084463, -0.4127842
-0.06524444, -0.9078482, -0.4141882
-0.06524444, -0.9078482, -0.4141882
-0.06524444, -0.9078482, -0.4141882
-0.06524444, -0.9078482, -0.4141882
-0.06524444, -0.9078482, -0.4141882
-0.06568855, -0.9074903, -0.414902
-0.06568855, -0.9074903, -0.414902
-0.06568855, -0.9074903, -0.414902
-0.06498796, -0.9067658, -0.4165934
-0.06498796, -0.9067658, -0.4165934
-0.06498796, -0.9067658, -0.4165934
-0.06498796, -0.9067658, -0.4165934
-0.0639025, -0.9061574, -0.4180824
-0.0639025, -0.9061574, -0.4180824
-0.0639025, -0.9061574, -0.4180824
-0.06073105, -0.9041518, -0.42287
-0.06073105, -0.9041518, -0.42287
-0.06073105, -0.9041518, -0.42287
-0.06073105, -0.9041518, -0.42287
-0.06073105, -0.9041518, -0.42287
-0.06131569, -0.9038472, -0.4234361
-0.06131569, -0.9038472, -0.4234361
-0.06131569, -0.9038472, -0.4234361
-0.06131569, -0.9038472, -0.4234361
-0.06131569, -0.9038472, -0.4234361
-0.06114948, -0.8981239, -0.4354674
-0.06114948, -0.8981239, -0.4354674
-0.06114948, -0.8981239, -0.4354674
-0.06114948, -0.8981239, -0.4354674
-0.06114948, -0.8981239, -0.4354674
-0.06124571, -0.8979109, -0.4358937
-0.06124571, -0.8979109, -0.4358937
-0.06124571, -0.8979109, -0.4358937
-0.06124571, -0.8979109, -0.4358937
-0.06124571, -0.8979109, -0.4358937
-0.05650234, -0.8969542, -0.4384966
-0.05650234, -0.8969542, -0.4384966
-0.05650234, -0.8969542, -0.4384966
-0.05650234, -0.8969542, -0.4384966
-0.05650234, -0.8969542, -0.4384966
-0.05181679, -0.8934321, -0.4461961
-0.05181679, -0.8934321, -0.4461961
-0.05181679, -0.8934321, -0.4461961
-0.05181679, -0.8934321, -0.4461961
-0.05181679, -0.8934321, -0.4461961
-0.02294597, -0.8731306, -0.4869441
-0.02294597, -0.8731306, -0.4869441
0.006048828, -0.8657014, -0.5005229
0.006048828, -0.8657014, -0.5005229
0.006048828, -0.8657014, -0.5005229
0.006048828, -0.8657014, -0.5005229
0.06563374, -0.8469145, -0.5276609
0.06563374, -0.8469145, -0.5276609
0.06563374, -0.8469145, -0.5276609
0.06563374, -0.8469145, -0.5276609
0.1245643, -0.8226175, -0.5547818
0.1245643, -0.8226175, -0.5547818
0.1245643, -0.8226175, -0.5547818
0.1245643, -0.8226175, -0.5547818
0.1245643, -0.8226175, -0.5547818
0.152852, -0.8071468, -0.570218
0.152852, -0.8071468, -0.570218
0.152852, -0.8071468, -0.570218
0.127581, -0.4216817, -0.8977234
0.127581, -0.4216817, -0.8977234
0.127581, -0.4216817, -0.8977234
0.127581, -0.4216817, -0.8977234
0.05596621, -0.035038, -0.9978176
0.05596621, -0.035038, -0.9978176
0.05596621, -0.035038, -0.9978176
0.05596621, -0.035038, -0.9978176
0.02118161, 0.1953473, -0.9805053
0.02118161, 0.1953473, -0.9805053
0.02118161, 0.1953473, -0.9805053
0.02118161, 0.1953473, -0.9805053
0.08969782, -0.1707229, -0.9812278
0.08969782, -0.1707229, -0.9812278
0.08969782, -0.1707229, -0.9812278
0.08969782, -0.1707229, -0.9812278
0.08969782, -0.1707229, -0.9812278
0.0728567, -0.2242728, -0.9717991
0.0728567, -0.2242728, -0.9717991
0.0728567, -0.2242728, -0.9717991
0.0728567, -0.2242728, -0.9717991
0.0728567, -0.2242728, -0.9717991
0.0728567, -0.2242728, -0.9717991
0.0728567, -0.2242728, -0.9717991
0.07721173, -0.05599967, -0.9954407
0.07721173, -0.05599967, -0.9954407
0.07721173, -0.05599967, -0.9954407
0.0749037, -0.06176152, -0.9952763
0.0749037, -0.06176152, -0.9952763
0.0749037, -0.06176152, -0.9952763
0.0749037, -0.06176152, -0.9952763
0.0749037, -0.06176152, -0.9952763
0.06453086, -0.08653859, -0.9941564
0.06453086, -0.08653859, -0.9941564
0.06453086, -0.08653859, -0.9941564
0.08235386, -0.07609803, -0.9936936
0.08235386, -0.07609803, -0.9936936
0.08235386, -0.07609803, -0.9936936
0.08235386, -0.07609803, -0.9936936
0.06405412, -0.06256624, -0.9959832
0.06405412, -0.06256624, -0.9959832
0.06405412, -0.06256624, -0.9959832
0.06601655, -0.07315483, -0.9951332
0.06601655, -0.07315483, -0.9951332
0.06601655, -0.07315483, -0.9951332
0.06601655, -0.07315483, -0.9951332
0.06601655, -0.07315483, -0.9951332
0.07448931, -0.07587254, -0.9943312
0.07448931, -0.07587254, -0.9943312
0.07448931, -0.07587254, -0.9943312
0.07448931, -0.07587254, -0.9943312
0.07448931, -0.07587254, -0.9943312
0.07351042, -0.07622556, -0.994377
0.07351042, -0.07622556, -0.994377
0.07351042, -0.07622556, -0.994377
0.07351042, -0.07622556, -0.994377
0.07351042, -0.07622556, -0.994377
0.07151756, -0.07543926, -0.9945823
0.07199779, -0.07581057, -0.9945195
0.07199779, -0.07581057, -0.9945195
0.07199779, -0.07581057, -0.9945195
0.07199779, -0.07581057, -0.9945195
0.07128173, -0.07480885, -0.994647
