X,Y,Z
-0.125519, -0.8540485, -0.5048206
-0.125519, -0.8540485, -0.5048206
-0.125519, -0.8540485, -0.5048206
-0.1172932, -0.8534574, -0.50779
-0.1172932, -0.8534574, -0.50779
-0.1172932, -0.8534574, -0.50779
-0.1172932, -0.8534574, -0.50779
-0.1172932, -0.8534574, -0.50779
-0.1172932, -0.8534574, -0.50779
-0.1172932, -0.8534574, -0.50779
-0.1172932, -0.8534574, -0.50779
-0.1172932, -0.8534574, -0.50779
-0.1143895, -0.8543574, -0.5069385
-0.1143895, -0.8543574, -0.5069385
-0.1143895, -0.8543574, -0.5069385
-0.1104987, -0.8547976, -0.507059
-0.1104987, -0.8547976, -0.507059
-0.1082389, -0.8548138, -0.5075191
-0.1082389, -0.8548138, -0.5075191
-0.1082389, -0.8548138, -0.5075191
-0.1082389, -0.8548138, -0.5075191
-0.1080356, -0.8557338, -0.5060111
-0.1080356, -0.8557338, -0.5060111
-0.1080356, -0.8557338, -0.5060111
-0.1080356, -0.8557338, -0.5060111
-0.1080356, -0.8557338, -0.5060111
-0.1083614, -0.8564295, -0.5047615
-0.1083614, -0.8564295, -0.5047615
-0.1083614, -0.8564295, -0.5047615
-0.1083614, -0.8564295, -0.5047615
-0.1083614, -0.8564295, -0.5047615
-0.1053942, -0.8548535, -0.5080509
-0.1027426, -0.853421, -0.510995
-0.1027426, -0.853421, -0.510995
-0.1027426, -0.853421, -0.510995
-0.1027426, -0.853421, -0.510995
-0.09251815, -0.8548998, -0.510474
-0.09251815, -0.8548998, -0.510474
-0.09251815, -0.8548998, -0.510474
-0.09251815, -0.8548998, -0.510474
-0.09251815, -0.8548998, -0.510474
-0.09053323, -0.8560311, -0.5089325
-0.09053323, -0.8560311, -0.5089325
-0.08716846, -0.8538317, -0.5131965
-0.08716846, -0.8538317, -0.5131965
-0.08716846, -0.8538317, -0.5131965
-0.08716846, -0.8538317, -0.5131965
-0.08716846, -0.8538317, -0.5131965
-0.08333948, -0.8507726, -0.5188828
-0.08333948, -0.8507726, -0.5188828
-0.08333948, -0.8507726, -0.5188828
-0.08034053, -0.8456877, -0.5275949
-0.08034053, -0.8456877, -0.5275949
-0.08034053, -0.8456877, -0.5275949
-0.08034053, -0.8456877, -0.5275949
-0.08034053, -0.8456877, -0.5275949
-0.08031389, -0.8420638, -0.5333619
-0.08031389, -0.8420638, -0.5333619
-0.08031389, -0.8420638, -0.5333619
-0.08031389, -0.8420638, -0.5333619
-0.08031389, -0.8420638, -0.5333619
-0.0281969, -0.8259097, -0.5630957
-0.0281969, -0.8259097, -0.5630957
-0.0281969, -0.8259097, -0.5630957
-0.0281969, -0.8259097, -0.5630957
-0.0281969, -0.8259097, -0.5630957
0.07079917, -0.8040204, -0.5903708
0.07079917, -0.8040204, -0.5903708
0.07079917, -0.8040204, -0.5903708
0.07079917, -0.8040204, -0.5903708
0.07079917, -0.8040204, -0.5903708
0.1029308, -0.7941124, -0.5989903
0.1029308, -0.7941124, -0.5989903
0.1029308, -0.7941124, -0.5989903
0.1029308, -0.7941124, -0.5989903
0.1029308, -0.7941124, -0.5989903
0.1623667, -0.7678848, -0.6196682
0.1623667, -0.7678848, -0.6196682
0.1623667, -0.7678848, -0.6196682
0.1623667, -0.7678848, -0.6196682
0.1623667, -0.7678848, -0.6196682
0.1870698, -0.7473727, -0.6375245
0.1870698, -0.7473727, -0.6375245
