X,Y,Z
-0.1067328, -0.8710201, -0.4795103
-0.1067328, -0.8710201, -0.4795103
-0.1049283, -0.8712491, -0.4794918
-0.1049283, -0.8712491, -0.4794918
-0.1049283, -0.8712491, -0.4794918
-0.1012813, -0.8727865, -0.4774767
-0.1012813, -0.8727865, -0.4774767
-0.1012813, -0.8727865, -0.4774767
-0.1012813, -0.8727865, -0.4774767
-0.1012813, -0.8727865, -0.4774767
-0.10441, -0.874083, -0.4744226
-0.10441, -0.874083, -0.4744226
-0.10441, -0.874083, -0.4744226
-0.10441, -0.874083, -0.4744226
-0.10441, -0.874083, -0.4744226
-0.103935, -0.8751002, -0.4726483
-0.101761, -0.8754178, -0.4725311
-0.101761, -0.8754178, -0.4725311
-0.101761, -0.8754178, -0.4725311
-0.101761, -0.8754178, -0.4725311
-0.09683007, -0.8753433, -0.4737048
-0.09683007, -0.8753433, -0.4737048
-0.09683007, -0.8753433, -0.4737048
-0.09683007, -0.8753433, -0.4737048
-0.09683007, -0.8753433, -0.4737048
-0.09555379, -0.8755296, -0.4736189
-0.09555379, -0.8755296, -0.4736189
-0.09555379, -0.8755296, -0.4736189
-0.09555379, -0.8755296, -0.4736189
-0.09555379, -0.8755296, -0.4736189
-0.09352827, -0.874952, -0.4750896
-0.09352827, -0.874952, -0.4750896
-0.09172949, -0.8733184, -0.4784335
-0.09172949, -0.8733184, -0.4784335
-0.09172949, -0.8733184, -0.4784335
-0.08457214, -0.8657832, -0.493219
-0.08457214, -0.8657832, -0.493219
-0.08457214, -0.8657832, -0.493219
-0.08457214, -0.8657832, -0.493219
-0.08457214, -0.8657832, -0.493219
-0.07209194, -0.8587607, -0.5072778
-0.07209194, -0.8587607, -0.5072778
-0.07209194, -0.8587607, -0.5072778
0.04767883, -0.836961, -0.5451794
0.04767883, -0.836961, -0.5451794
0.04767883, -0.836961, -0.5451794
0.04767883, -0.836961, -0.5451794
0.04767883, -0.836961, -0.5451794
0.04767883, -0.836961, -0.5451794
0.1320495, -0.8157334, -0.5631518
0.1320495, -0.8157334, -0.5631518
0.1320495, -0.8157334, -0.5631518
0.1320495, -0.8157334, -0.5631518
0.1320495, -0.8157334, -0.5631518
0.2125432, -0.7834215, -0.5840164
0.2125432, -0.7834215, -0.5840164
0.2125432, -0.7834215, -0.5840164
0.2125432, -0.7834215, -0.5840164
0.2125432, -0.7834215, -0.5840164
0.2071677, -0.6033854, -0.7700691
0.2071677, -0.6033854, -0.7700691
0.2071677, -0.6033854, -0.7700691
0.2071677, -0.6033854, -0.7700691
0.2071677, -0.6033854, -0.7700691
-0.03269658, 0.1188244, -0.9923767
-0.03269658, 0.1188244, -0.9923767
-0.03269658, 0.1188244, -0.9923767
0.07253806, -0.008620802, -0.9973284
0.07253806, -0.008620802, -0.9973284
0.07253806, -0.008620802, -0.9973284
0.04801992, -0.1637577, -0.9853311
0.04801992, -0.1637577, -0.9853311
0.04801992, -0.1637577, -0.9853311
0.04801992, -0.1637577, -0.9853311
-0.01564091, -0.1745167, -0.9845299
-0.01564091, -0.1745167, -0.9845299
-0.01564091, -0.1745167, -0.9845299
-0.01564091, -0.1745167, -0.9845299
-0.01564091, -0.1745167, -0.9845299
-0.1041625, -0.1139368, -0.9880124
-0.08073099, -0.005109988, -0.9967228
-0.08073099, -0.005109988, -0.9967228
-0.08073099, -0.005109988, -0.9967228
-0.08073099, -0.005109988, -0.9967228
-0.004948236, -0.006053866, -0.9999695
-0.004948236, -0.006053866, -0.9999695
-0.004948236, -0.006053866, -0.9999695
-0.004948236, -0.006053866, -0.9999695
-0.004948236, -0.006053866, -0.9999695
-0.04840056, -0.02105255, -0.9986061
-0.04840056, -0.02105255, -0.9986061
-0.04523544, -0.0177274, -0.998819
-0.04523544, -0.0177274, -0.998819
-0.04523544, -0.0177274, -0.998819
-0.04523544, -0.0177274, -0.998819
-0.01128986, -0.004850071, -0.9999244
-0.01128986, -0.004850071, -0.9999244
-0.01128986, -0.004850071, -0.9999244
-0.01128986, -0.004850071, -0.9999244
-0.02505402, -0.01090747, -0.9996266
-0.02505402, -0.01090747, -0.9996266
-0.02505402, -0.01090747, -0.9996266
-0.02505402, -0.01090747, -0.9996266
