X,Y,Z
-0.02509785, -0.8658291, -0.4997098
-0.02509785, -0.8658291, -0.4997098
-0.02509785, -0.8658291, -0.4997098
-0.02509785, -0.8658291, -0.4997098
-0.02509785, -0.8658291, -0.4997098
-0.01627621, -0.864233, -0.5028262
-0.01627621, -0.864233, -0.5028262
-0.01627621, -0.864233, -0.5028262
-0.01627621, -0.864233, -0.5028262
-0.01838881, -0.8625731, -0.5055969
-0.01838881, -0.8625731, -0.5055969
-0.01838881, -0.8625731, -0.5055969
-0.01623672, -0.8604136, -0.5093361
-0.01623672, -0.8604136, -0.5093361
-0.01623672, -0.8604136, -0.5093361
-0.01623672, -0.8604136, -0.5093361
-0.01433077, -0.8591412, -0.5115356
-0.01433077, -0.8591412, -0.5115356
-0.01433077, -0.8591412, -0.5115356
-0.01433077, -0.8591412, -0.5115356
-0.01259652, -0.858218, -0.5131289
-0.01259652, -0.858218, -0.5131289
-0.01259652, -0.858218, -0.5131289
-0.01259652, -0.858218, -0.5131289
-0.01259652, -0.858218, -0.5131289
-0.0107311, -0.8586899, -0.5123816
-0.0107311, -0.8586899, -0.5123816
-0.0107311, -0.8586899, -0.5123816
-0.01215351, -0.8609719, -0.5085047
-0.01215351, -0.8609719, -0.5085047
-0.01215351, -0.8609719, -0.5085047
-0.01215351, -0.8609719, -0.5085047
-0.01195481, -0.8615177, -0.507586
-0.01195481, -0.8615177, -0.507586
-0.01195481, -0.8615177, -0.507586
-0.01016939, -0.8635034, -0.5042384
-0.01016939, -0.8635034, -0.5042384
-0.01016939, -0.8635034, -0.5042384
-0.01016939, -0.8635034, -0.5042384
-0.01016939, -0.8635034, -0.5042384
-0.005131602, -0.8591956, -0.51162
-0.005131602, -0.8591956, -0.51162
-0.005131602, -0.8591956, -0.51162
-0.005131602, -0.8591956, -0.51162
-0.005131602, -0.8591956, -0.51162
-0.0003685653, -0.8388911, -0.5442984
-0.0003685653, -0.8388911, -0.5442984
-0.0003685653, -0.8388911, -0.5442984
-0.0003685653, -0.8388911, -0.5442984
-0.0003685653, -0.8388911, -0.5442984
0.01115584, -0.822092, -0.5692434
0.01115584, -0.822092, -0.5692434
0.01115584, -0.822092, -0.5692434
0.01115584, -0.822092, -0.5692434
0.01115584, -0.822092, -0.5692434
0.02080843, -0.8001899, -0.5993845
0.02080843, -0.8001899, -0.5993845
0.02080843, -0.8001899, -0.5993845
0.02080843, -0.8001899, -0.5993845
0.02080843, -0.8001899, -0.5993845
0.02421308, -0.7857705, -0.6180432
0.02421308, -0.7857705, -0.6180432
0.02421308, -0.7857705, -0.6180432
0.02421308, -0.7857705, -0.6180432
0.02421308, -0.7857705, -0.6180432
0.03841992, -0.4099838, -0.9112833
0.03841992, -0.4099838, -0.9112833
0.03841992, -0.4099838, -0.9112833
0.07070911, -0.02238594, -0.9972457
0.07070911, -0.02238594, -0.9972457
0.04791477, -0.1539307, -0.9869192
0.04791477, -0.1539307, -0.9869192
0.04791477, -0.1539307, -0.9869192
0.04791477, -0.1539307, -0.9869192
0.04791477, -0.1539307, -0.9869192
0.03133264, -0.3060878, -0.9514874
0.03133264, -0.3060878, -0.9514874
0.03133264, -0.3060878, -0.9514874
0.03133264, -0.3060878, -0.9514874
0.02014318, -0.3167894, -0.9482819
0.02014318, -0.3167894, -0.9482819
0.02014318, -0.3167894, -0.9482819
0.007227704, -0.2777288, -0.9606321
0.007227704, -0.2777288, -0.9606321
0.007227704, -0.2777288, -0.9606321
0.007227704, -0.2777288, -0.9606321
0.0277697, -0.2107644, -0.9771424
0.0277697, -0.2107644, -0.9771424
0.0277697, -0.2107644, -0.9771424
0.0277697, -0.2107644, -0.9771424
0.05829377, -0.1418622, -0.9881684
0.05829377, -0.1418622, -0.9881684
0.05829377, -0.1418622, -0.9881684
0.05829377, -0.1418622, -0.9881684
0.05829377, -0.1418622, -0.9881684
0.03985571, -0.1822418, -0.9824456
0.03985571, -0.1822418, -0.9824456
0.03985571, -0.1822418, -0.9824456
0.03985571, -0.1822418, -0.9824456
0.03985571, -0.1822418, -0.9824456
0.04877341, -0.1608682, -0.98577
0.04925197, -0.1601652, -0.9858606
0.04925197, -0.1601652, -0.9858606
0.04925197, -0.1601652, -0.9858606
0.04925197, -0.1601652, -0.9858606
0.04395954, -0.1733581, -0.9838773
0.04395954, -0.1733581, -0.9838773
0.04395954, -0.1733581, -0.9838773
0.04395954, -0.1733581, -0.9838773
0.04395954, -0.1733581, -0.9838773
0.04534543, -0.1688726, -0.9845942
0.04534543, -0.1688726, -0.9845942
0.04534543, -0.1688726, -0.9845942
0.04520599, -0.1695968, -0.9844761
0.04520599, -0.1695968, -0.9844761
0.04520599, -0.1695968, -0.9844761
0.04533853, -0.1692151, -0.9845358
0.04533853, -0.1692151, -0.9845358
0.04533853, -0.1692151, -0.9845358
0.04533853, -0.1692151, -0.9845358
0.04481672, -0.1681493, -0.9847422
0.04481672, -0.1681493, -0.9847422
0.04481672, -0.1681493, -0.9847422
0.04481672, -0.1681493, -0.9847422
0.04481672, -0.1681493, -0.9847422
0.04526478, -0.165733, -0.9851313
0.04526478, -0.165733, -0.9851313
0.04526478, -0.165733, -0.9851313
0.04526478, -0.165733, -0.9851313
0.04526478, -0.165733, -0.9851313
0.04499989, -0.1620125, -0.9857621
0.04499989, -0.1620125, -0.9857621
0.04499989, -0.1620125, -0.9857621
0.04499989, -0.1620125, -0.9857621
0.04499989, -0.1620125, -0.9857621
0.04508941, -0.1599421, -0.986096
0.04521634, -0.1562175, -0.9866871
0.04521634, -0.1562175, -0.9866871
0.04521634, -0.1562175, -0.9866871
0.04521634, -0.1562175, -0.9866871
0.0460465, -0.1094616, -0.9929239
0.0460465, -0.1094616, -0.9929239
0.0460465, -0.1094616, -0.9929239
0.0460465, -0.1094616, -0.9929239
0.0460465, -0.1094616, -0.9929239
0.04657911, -0.06887896, -0.996537
0.04657911, -0.06887896, -0.996537
0.04657911, -0.06887896, -0.996537
0.04670969, -0.06734885, -0.9966355
0.04670969, -0.06734885, -0.9966355
0.04670969, -0.06734885, -0.9966355
0.04661318, -0.066411, -0.996703
0.04661318, -0.066411, -0.996703
0.04661318, -0.066411, -0.996703
0.04661318, -0.066411, -0.996703
0.04660387, -0.06621578, -0.9967163
0.04660387, -0.06621578, -0.9967163
0.04660387, -0.06621578, -0.9967163
0.04660387, -0.06621578, -0.9967163
0.04660387, -0.06621578, -0.9967163
0.04661341, -0.06608488, -0.9967246
0.04661341, -0.06608488, -0.9967246
0.04661341, -0.06608488, -0.9967246
0.04653544, -0.06552301, -0.9967653
0.04653544, -0.06552301, -0.9967653
0.04653544, -0.06552301, -0.9967653
0.04654572, -0.06534999, -0.9967762
0.04654572, -0.06534999, -0.9967762
0.04654572, -0.06534999, -0.9967762
0.04654572, -0.06534999, -0.9967762
