X,Y,Z
-0.05414632, -0.7935071, -0.606146
-0.05414632, -0.7935071, -0.606146
-0.05890656, -0.7912847, -0.6086021
-0.05890656, -0.7912847, -0.6086021
-0.05890656, -0.7912847, -0.6086021
-0.05890656, -0.7912847, -0.6086021
-0.05440032, -0.7939047, -0.6056025
-0.05440032, -0.7939047, -0.6056025
-0.05440032, -0.7939047, -0.6056025
-0.05440032, -0.7939047, -0.6056025
-0.0462527, -0.7963783, -0.6030258
-0.0462527, -0.7963783, -0.6030258
-0.0462527, -0.7963783, -0.6030258
-0.0462527, -0.7963783, -0.6030258
-0.0462527, -0.7963783, -0.6030258
-0.0424698, -0.7956902, -0.6042123
-0.0424698, -0.7956902, -0.6042123
-0.03697816, -0.7946905, -0.605886
-0.03697816, -0.7946905, -0.605886
-0.03697816, -0.7946905, -0.605886
-0.03697816, -0.7946905, -0.605886
-0.03388205, -0.7962931, -0.60396
-0.03388205, -0.7962931, -0.60396
-0.03388205, -0.7962931, -0.60396
-0.03388205, -0.7962931, -0.60396
-0.03317347, -0.7968803, -0.6032238
-0.03317347, -0.7968803, -0.6032238
-0.03317347, -0.7968803, -0.6032238
-0.03317347, -0.7968803, -0.6032238
-0.03317347, -0.7968803, -0.6032238
-0.03473476, -0.7969667, -0.6030226
-0.03473476, -0.7969667, -0.6030226
-0.03099531, -0.796586, -0.6037292
-0.03099531, -0.796586, -0.6037292
-0.03099531, -0.796586, -0.6037292
-0.02084014, -0.7906811, -0.6118722
-0.02084014, -0.7906811, -0.6118722
-0.02084014, -0.7906811, -0.6118722
-0.02084014, -0.7906811, -0.6118722
-0.02084014, -0.7906811, -0.6118722
-0.01199189, -0.7876372, -0.6160217
-0.01199189, -0.7876372, -0.6160217
-0.01199189, -0.7876372, -0.6160217
0.01835117, -0.7859401, -0.6180283
0.01835117, -0.7859401, -0.6180283
0.01835117, -0.7859401, -0.6180283
0.01835117, -0.7859401, -0.6180283
0.05768159, -0.7877994, -0.613224
0.05768159, -0.7877994, -0.613224
0.05768159, -0.7877994, -0.613224
0.1459468, -0.7897479, -0.595816
0.1459468, -0.7897479, -0.595816
0.1459468, -0.7897479, -0.595816
0.1459468, -0.7897479, -0.595816
0.1459468, -0.7897479, -0.595816
0.2252482, -0.7883182, -0.572552
0.2252482, -0.7883182, -0.572552
0.2252482, -0.7883182, -0.572552
0.2252482, -0.7883182, -0.572552
0.2252482, -0.7883182, -0.572552
0.2939018, -0.7809929, -0.5510629
0.2939018, -0.7809929, -0.5510629
0.3131796, -0.7593024, -0.5704186
0.3131796, -0.7593024, -0.5704186
0.3131796, -0.7593024, -0.5704186
0.3131796, -0.7593024, -0.5704186
0.1303214, -0.3617794, -0.9231099
0.1303214, -0.3617794, -0.9231099
0.1303214, -0.3617794, -0.9231099
0.1303214, -0.3617794, -0.9231099
-0.1064981, 0.2485403, -0.9627492
-0.1064981, 0.2485403, -0.9627492
-0.1064981, 0.2485403, -0.9627492
-0.1064981, 0.2485403, -0.9627492
-0.1064981, 0.2485403, -0.9627492
0.02991453, 0.1393208, -0.9897954
0.02991453, 0.1393208, -0.9897954
0.02991453, 0.1393208, -0.9897954
0.06702451, -0.1619355, -0.9845225
0.06702451, -0.1619355, -0.9845225
0.06702451, -0.1619355, -0.9845225
-0.09686348, -0.06569902, -0.9931269
-0.09686348, -0.06569902, -0.9931269
-0.09686348, -0.06569902, -0.9931269
-0.09686348, -0.06569902, -0.9931269
-0.15944, 0.0003513917, -0.9872075
-0.15944, 0.0003513917, -0.9872075
-0.15944, 0.0003513917, -0.9872075
-0.15944, 0.0003513917, -0.9872075
-0.15944, 0.0003513917, -0.9872075
-0.1532149, 0.0714393, -0.9856072
-0.1532149, 0.0714393, -0.9856072
-0.06306484, 0.02926657, -0.9975802
-0.06306484, 0.02926657, -0.9975802
-0.06306484, 0.02926657, -0.9975802
-0.08979765, 0.04963999, -0.9947222
-0.08979765, 0.04963999, -0.9947222
-0.08979765, 0.04963999, -0.9947222
-0.08979765, 0.04963999, -0.9947222
-0.04255355, 0.03761545, -0.9983858
-0.04255355, 0.03761545, -0.9983858
-0.04255355, 0.03761545, -0.9983858
-0.04255355, 0.03761545, -0.9983858
-0.04255355, 0.03761545, -0.9983858
-0.04153714, 0.03589423, -0.9984919
-0.04153714, 0.03589423, -0.9984919
-0.04153714, 0.03589423, -0.9984919
-0.04608007, 0.03762554, -0.9982289
-0.04608007, 0.03762554, -0.9982289
-0.04608007, 0.03762554, -0.9982289
-0.04997355, 0.03760414, -0.9980423
-0.04997355, 0.03760414, -0.9980423
-0.04997355, 0.03760414, -0.9980423
-0.04997355, 0.03760414, -0.9980423
-0.04418471, 0.03445749, -0.9984289
-0.04418471, 0.03445749, -0.9984289
-0.04418471, 0.03445749, -0.9984289
-0.04418471, 0.03445749, -0.9984289
-0.04418471, 0.03445749, -0.9984289
-0.04321966, 0.03284477, -0.9985255
-0.04321966, 0.03284477, -0.9985255
-0.04321966, 0.03284477, -0.9985255
-0.04321966, 0.03284477, -0.9985255
-0.04321966, 0.03284477, -0.9985255
-0.03738358, 0.02853458, -0.9988935
-0.03622847, 0.02701575, -0.9989782
-0.03622847, 0.02701575, -0.9989782
-0.03622847, 0.02701575, -0.9989782
-0.03622847, 0.02701575, -0.9989782
-0.03422824, 0.02550723, -0.9990885
-0.03422824, 0.02550723, -0.9990885
-0.03422824, 0.02550723, -0.9990885
-0.03422824, 0.02550723, -0.9990885
-0.03422824, 0.02550723, -0.9990885
-0.0327995, 0.02426257, -0.9991674
-0.0327995, 0.02426257, -0.9991674
-0.02804606, 0.02032257, -0.9994
-0.02804606, 0.02032257, -0.9994
-0.02804606, 0.02032257, -0.9994
-0.02804606, 0.02032257, -0.9994
-0.02662149, 0.01903878, -0.9994643
-0.02662149, 0.01903878, -0.9994643
-0.02662149, 0.01903878, -0.9994643
-0.02662149, 0.01903878, -0.9994643
0.02962307, -0.02963035, -0.999122
0.02962307, -0.02963035, -0.999122
0.02962307, -0.02963035, -0.999122
0.02962307, -0.02963035, -0.999122
0.02962307, -0.02963035, -0.999122
